Tanggal Transaksi,iPhone Terjual,iPad Terjual,MacBook Terjual,Jumlah Transaksi,Total Pendapatan
30/08/2021,902,561,257,1720,23039900000
31/08/2021,511,420,597,1528,17299600000
01/09/2021,316,931,964,2211,58572100000
02/09/2021,353,741,493,1587,25903400000
03/09/2021,184,52,948,1184,49060000000
04/09/2021,141,360,315,816,13593600000
05/09/2021,271,328,680,1279,24234500000
06/09/2021,664,777,275,1716,32395900000
07/09/2021,793,522,293,1608,23954400000
08/09/2021,93,360,615,1068,27062100000
09/09/2021,474,407,631,1512,31496200000
10/09/2021,503,223,379,1105,23350900000
11/09/2021,389,547,856,1792,35247200000
12/09/2021,130,585,635,1350,31030000000
13/09/2021,484,709,993,2186,35517300000
14/09/2021,58,587,579,1224,16684500000
15/09/2021,222,138,300,660,17566200000
16/09/2021,321,881,681,1883,42897600000
17/09/2021,653,810,528,1991,28833100000
18/09/2021,245,69,595,909,27054800000
19/09/2021,435,233,200,868,12892700000
20/09/2021,472,772,457,1701,26090800000
21/09/2021,810,966,161,1937,29158100000
22/09/2021,334,438,406,1178,26219800000
23/09/2021,111,879,702,1692,37816800000
24/09/2021,102,699,305,1106,16826600000
25/09/2021,359,740,213,1312,24292700000
26/09/2021,353,72,730,1155,26140700000
27/09/2021,757,326,557,1640,32952300000
28/09/2021,842,288,261,1391,26163200000
29/09/2021,193,144,382,719,8186300000
30/09/2021,380,948,602,1930,38194200000
01/10/2021,324,422,347,1093,27512800000
02/10/2021,380,656,106,1142,15353000000
03/10/2021,71,201,654,926,33956300000
04/10/2021,773,320,241,1334,24880800000
05/10/2021,805,670,923,2398,47582200000
06/10/2021,605,604,726,1935,30176100000
07/10/2021,929,603,995,2527,49065400000
08/10/2021,632,87,974,1693,50831000000
09/10/2021,290,553,926,1769,42915200000
10/10/2021,890,610,787,2287,34286200000
11/10/2021,121,851,192,1164,20651600000
12/10/2021,893,303,459,1655,27620800000
13/10/2021,502,397,529,1428,17654400000
14/10/2021,771,683,707,2161,40547900000
15/10/2021,405,565,431,1401,28576400000
16/10/2021,538,911,255,1704,23928400000
17/10/2021,650,218,314,1182,19364200000
18/10/2021,857,13,834,1704,14868200000
19/10/2021,913,509,797,2219,50436400000
20/10/2021,276,45,631,952,34915900000
21/10/2021,123,333,880,1336,45202200000
22/10/2021,399,172,859,1430,19619400000
23/10/2021,171,193,77,441,7305900000
24/10/2021,696,392,453,1541,30659200000
25/10/2021,999,373,515,1887,42796000000
26/10/2021,316,348,456,1120,29561600000
27/10/2021,932,776,406,2114,25615000000
28/10/2021,521,927,529,1977,42263800000
29/10/2021,380,271,647,1298,17526000000
30/10/2021,647,944,408,1999,22674700000
